Month,Other,Russia
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,6,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,3,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,4,0
2005-04,0,0
2005-05,0,0
2005-06,2,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,2,0
2005-11,0,0
2005-12,0,0
2006-01,1,0
2006-02,4,0
2006-03,1,0
2006-04,0,0
2006-05,1,0
2006-06,3,1
2006-07,0,0
2006-08,1,0
2006-09,3,1
2006-10,2,0
2006-11,2,0
2006-12,1,0
2007-01,0,1
2007-02,1,0
2007-03,1,0
2007-04,0,0
2007-05,2,0
2007-06,1,0
2007-07,2,0
2007-08,2,0
2007-09,1,0
2007-10,3,0
2007-11,2,0
2007-12,2,3
2008-01,1,0
2008-02,2,0
2008-03,1,0
2008-04,4,0
2008-05,3,0
2008-06,3,2
2008-07,1,1
2008-08,2,0
2008-09,0,1
2008-10,2,1
2008-11,3,0
2008-12,3,1
2009-01,2,0
2009-02,2,1
2009-03,1,1
2009-04,4,1
2009-05,2,1
2009-06,2,1
2009-07,2,2
2009-08,2,1
2009-09,4,1
2009-10,2,2
2009-11,3,1
2009-12,4,2
2010-01,3,2
2010-02,4,3
2010-03,4,3
2010-04,3,4
2010-05,4,3
2010-06,4,3
2010-07,4,3
2010-08,2,3
2010-09,5,2
2010-10,5,4
2010-11,4,4
2010-12,6,6
2011-01,5,5
2011-02,5,7
2011-03,5,5
2011-04,9,8
2011-05,8,4
2011-06,7,6
2011-07,4,4
2011-08,3,5
2011-09,11,6
2011-10,13,10
2011-11,8,9
2011-12,10,13
2012-01,8,11
2012-02,10,12
2012-03,11,11
2012-04,10,12
2012-05,11,13
2012-06,11,11
2012-07,13,9
2012-08,10,10
2012-09,15,13
2012-10,12,18
2012-11,16,18
2012-12,20,22
2013-01,19,22
2013-02,23,24
2013-03,22,26
2013-04,24,31
2013-05,20,27
2013-06,24,29
2013-07,22,25
2013-08,19,28
2013-09,33,34
2013-10,29,41
2013-11,33,39
2013-12,37,44
2014-01,35,41
2014-02,37,49
2014-03,33,47
2014-04,39,40
2014-05,41,36
2014-06,36,36
2014-07,29,39
2014-08,36,41
2014-09,55,45
2014-10,51,50
2014-11,47,51
2014-12,54,61
2015-01,52,51
2015-02,56,56
2015-03,51,51
2015-04,51,50
2015-05,45,44
2015-06,38,38
2015-07,36,37
2015-08,35,36
2015-09,49,46
2015-10,48,57
2015-11,46,53
2015-12,53,67
2016-01,49,59
2016-02,55,60
2016-03,51,60
2016-04,53,60
2016-05,52,61
2016-06,46,58
2016-07,45,50
2016-08,45,49
2016-09,66,57
2016-10,61,74
2016-11,57,67
2016-12,54,78
2017-01,61,67
2017-02,64,74
2017-03,48,64
2017-04,52,61
2017-05,43,56
2017-06,41,54
2017-07,38,43
2017-08,38,48
2017-09,59,56
2017-10,51,65
2017-11,59,62
2017-12,64,75
2018-01,62,69
2018-02,54,67
2018-03,50,60
2018-04,50,59
2018-05,47,58
2018-06,45,53
2018-07,37,43
2018-08,35,49
2018-09,62,64
2018-10,54,77
2018-11,55,67
2018-12,54,78
2019-01,47,62
2019-02,54,72
2019-03,47,56
2019-04,40,66
2019-05,43,64
2019-06,41,51
2019-07,33,44
2019-08,36,46
2019-09,65,68
2019-10,57,87
2019-11,49,76
2019-12,56,82
2020-01,47,69
2020-02,51,80
2020-03,45,67
2020-04,55,100
2020-05,38,68
2020-06,34,46
2020-07,27,46
2020-08,33,52
2020-09,66,84
2020-10,57,91
2020-11,49,81
2020-12,55,91
2021-01,44,70
2021-02,49,83
2021-03,46,77
2021-04,45,79
2021-05,43,70