years,country,migration,iso3_d,AZE,DEU,KAZ,RUS,TJK,UKR,USA,road_quality_destination,railroad_quality_destination,airtr_quality_destination,electricity_quality_destination,fixedtel_destination,mobile_destination,technology_destination,internet_destination,fxinternet_destination,road_origin,railroad_origin,airtr_origin,electr_origin,fexedtel_origin,mobile_origin,technology_origin,internet_origin,fxinternet_origin,country_code_merge,year,iso3_o,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d,GTI1,GTI2,GTI3,GTI4,GTI5,GTI6,GTI7,GTI8,GTI9,GTI10,GTI11,GTI12,GTI13,GTI14,GTI15,GTI16,GTI17,GTI18,GTI19,GTI20,GTI21,GTI22,GTI23,GTI24,GTI25,GTI26,GTI27,GTI28,GTI29,GTI30,GTI31,GTI32,GTI33,GTI34,GTI35,GTI36,GTI37,GTI38,GTI39,GTI40,GTI41,GTI42,BX.GSR.CCIS.CD,BX.GSR.CCIS.ZS,BX.TRF.PWKR.CD.DT,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.USE.ELEC.KH.PC,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.K3,ER.H2O.FWTL.ZS,ER.H2O.INTR.K3,ER.H2O.INTR.PC,IE.PPI.ENGY.CD,IE.PPI.ICTI.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IP.IDS.NRCT,IP.IDS.RSCT,IP.TMK.NRCT,IP.TMK.RSCT,IQ.SPI.PIL5,IS.AIR.DPRT,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,IS.SHP.GCNW.XQ,IS.SHP.GOOD.TU,IT.CEL.SETS,IT.CEL.SETS.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,IT.NET.BBND,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.SECR.P6,IT.NET.USER.ZS,LP.LPI.INFR.XQ,NY.GDP.MKTP.KD,SL.UEM.TOTL.ZS,SP.POP.TOTL,TM.VAL.ICTG.ZS.UN,TX.VAL.ICTG.ZS.UN,oBX.GSR.CCIS.CD,oBX.GSR.CCIS.ZS,oBX.TRF.PWKR.CD.DT,oEG.ELC.COAL.ZS,oEG.ELC.HYRO.ZS,oEG.ELC.LOSS.ZS,oEG.ELC.NGAS.ZS,oEG.ELC.NUCL.ZS,oEG.ELC.PETR.ZS,oEG.USE.ELEC.KH.PC,oER.H2O.FWAG.ZS,oER.H2O.FWDM.ZS,oER.H2O.FWIN.ZS,oER.H2O.FWTL.K3,oER.H2O.FWTL.ZS,oER.H2O.INTR.K3,oER.H2O.INTR.PC,oIE.PPI.ENGY.CD,oIE.PPI.ICTI.CD,oIE.PPI.TRAN.CD,oIE.PPI.WATR.CD,oIE.PPN.ENGY.CD,oIE.PPN.TRAN.CD,oIE.PPN.WATR.CD,oIP.IDS.NRCT,oIP.IDS.RSCT,oIP.TMK.NRCT,oIP.TMK.RSCT,oIQ.SPI.PIL5,oIS.AIR.DPRT,oIS.AIR.GOOD.MT.K1,oIS.AIR.PSGR,oIS.RRS.GOOD.MT.K6,oIS.RRS.PASG.KM,oIS.RRS.TOTL.KM,oIS.SHP.GCNW.XQ,oIS.SHP.GOOD.TU,oIT.CEL.SETS,oIT.CEL.SETS.P2,oIT.MLT.MAIN,oIT.MLT.MAIN.P2,oIT.NET.BBND,oIT.NET.BBND.P2,oIT.NET.SECR,oIT.NET.SECR.P6,oIT.NET.USER.ZS,oLP.LPI.INFR.XQ,oNY.GDP.MKTP.KD,oSL.UEM.TOTL.ZS,oSP.POP.TOTL,oTM.VAL.ICTG.ZS.UN,oTX.VAL.ICTG.ZS.UN
2014,Ukraine,13,UKR,0,0,0,0,0,1,0,2.140558004,4.467032909,3.844351053,4.724105835,27.10740852,132.0501556,4.337563038,33.70000076,8.107338905,2.529613018,2.500800848,3.089701176,2.684545279,8.972932816,124.7750702,3.570311546,21.72350883,2.623142004,UKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKR,2014,KGZ,417,804,1,1,6,2,0,3417.102051,3253.521,3417.102051,3230.215,1,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5835.5,45271.946,7468096.512,133503410.2,1.279999971,2.948999882,1,1,1,1,19557845.56,373405239.9,3.352,8.684,5774.565918,44883.42578,20881824,457878656,0,0,1,1,0,0,1,1,4,2.3,1.2,4,6,10,21,14,27,4587.403,4304.568,5254.409,3753.248,4587.402832,4304.565918,18.41666603,29.16666603,22.58333397,29.41666603,23.75,29.25,11.33333302,75.58333588,37.33333206,13,26.91666603,2.5,18.41666603,35,26.58333397,37.41666794,19.75,11.66666698,5.75,20.5,21.66666603,40.5,39,25.66666603,3.5,41.83333206,40.33333206,30.16666603,39.33333206,12.16666698,0,42.58333206,0,0,28.91666603,43.91666794,27.08333397,45.41666794,22.91666603,37.91666794,46.83333206,23.33333397,2042000000,13.71943026,7354000000,38.73334249,4.658881715,10.77895315,6.986673994,48.5720566,0.118697623,3418.569317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3516,4962,26076,25355,0,47927.4,22.0855,4503610,210157,35865,21625.9,24.16957853,665000,61170229,144.2788474,10461083,24.67397985,3945575,9.30621027,3382,74.70375554,46.23597546,2.649754,1.34E+11,9.27,45272155,3.556452934,0.959114289,20849181,2.31464387,2242827292,7.363436728,91.2572056,23.73044194,0.80290969,0,0.576447982,1941.221832,0,0,0,0,0,0,0,40000000,0,0,0,0,0,0,714,48,6330,372,0,17388,0.237168,712284,1010,0,424,0,0,7563444,129.4106012,443184,7.582882599,170706,2.920781339,82,14.05192357,28.3,2.045971,5855984962,8.05,5835500,2.037129014,0.056549192
2015,Ukraine,5,UKR,0,0,0,0,0,1,0,2.206908703,4.310959816,3.777292967,4.911088943,26.15225792,138.0646515,4.113993645,41.79999924,8.830540657,2.72516942,2.639318705,3.181883574,2.857395649,8.31497097,121.4498215,3.747436047,23.39999962,0.961614013,UKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKR,2015,KGZ,417,804,1,1,6,2,0,3417.102051,3253.521,3417.102051,3230.215,1,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5956.9,45154.03,6678178.304,91030962.18,1.121000051,2.016000032,1,1,1,1,20534456.2,340537353.3,3.447,7.948,5865.400879,44657.70313,21694070,406552576,0,0,1,1,0,0,1,1,4,2.1,0.6,4,4,10,7,14,11,7941.85,5801.683,8026.831,3647.148,7941.848145,5801.685059,24.83333397,36.25,24.5,34.41666794,36.75,32.41666794,20.08333397,82.91666412,46.16666794,12.91666698,27.41666603,17,15.16666698,56.41666794,31.66666603,36.58333206,23.58333397,11.08333302,8.833333015,22.25,28.58333397,46.58333206,33.41666794,23.25,18.08333397,52.25,47.08333206,38,37.91666794,17.16666603,1.333333373,52.5,0,0,27.66666603,58.58333206,29.83333397,44.41666794,20.58333397,37.5,65.5,37.33333206,2105000000,16.91850185,8474000000,34.57818245,3.329261973,0,6.231648037,0,0.460187036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487,4294,22403,36339,0,45688,37.7408652,4620530,195054,35367,20975.23,27.49736827,480000,60720073,142.0030379,9113061,21.31226599,4978813,11.64370424,6403,141.8034924,48.88464368,2.5722805,1.21E+11,9.14,45154036,4.006102329,0.824990261,42524386,4.981863628,1687701982,13.21565618,85.18802763,0,1.304681504,0,0.291634689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,21,6330,341,0,20962,0.06929,967629,918,41,424,0,0,7579439,127.1905538,408037,6.847268246,211521,3.549533564,136,22.83066696,30.24704278,2.0029855,6082952718,7.56,5956900,2.799089538,0.069321085
2016,Ukraine,8,UKR,0,0,0,0,0,1,0,2.435922384,4.15952301,3.704170942,4.622852325,24.64034271,144.0821533,4.277101517,43.40000153,8.417094231,2.55556941,2.426702499,2.905791998,2.928073406,7.877223492,134.4608612,3.580476284,28.29999924,4.158264637,UKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKR,2016,KGZ,417,804,1,1,6,2,0,3417.102051,3253.521,3417.102051,3230.215,1,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6082.7,45004.646,6551287.808,93270482.94,1.077000022,2.072000027,1,1,1,1,21600596.55,352977531.1,3.551,8.272,5955.733887,44438.625,23261980,406112192,0,0,1,1,0,0,1,1,4,2,0.5,4,4,10,5,14,9,3166.56,1773.575,3436.499,2341.431,3166.559082,1773.599976,22.25,33.5,30.25,33.41666794,55.08333206,35,18.16666603,72.41666412,44,12.66666698,23.75,13.16666698,20.25,41.08333206,42.91666794,33.83333206,22.91666603,9.75,10.5,18.41666603,25,41.75,28.25,32.5,15.16666698,56.58333206,46.75,38.83333206,26.16666603,15.5,5.083333492,62.58333206,23.16666603,21.75,23.25,53.08333206,21.83333397,49.41666794,16.41666603,30.08333397,54.66666794,31.91666603,2310000000,18.55719794,9472000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632,5382,23638,45880,70,55261,40.45983036,5756509,187557,36839,21603,26.3420099,588000,56717856,133.1689539,8451229,19.84280445,5125499,12.03425849,85755,1905.468794,53.0009696,2.494807,1.24E+11,9.35,45004673,4.878010336,0.946322097,65799849,7.823715565,1994607958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,17,6085,269,85,23120,0.088343,1015750,807,40.8,424,0,0,7613528,125.3393872,382149,6.291212364,240873,3.965424993,257,42.27321326,37,1.96,6346700783,7.21,6079500,3.130007198,0.371673953
2017,Ukraine,8,UKR,0,0,0,0,0,1,0,2.410120964,4.014369488,3.721124649,4.351033688,21.61545563,144.0231781,4.308215141,49.25999832,11.80934811,2.488281965,2.373281956,2.882899284,3.238278627,7.14910078,132.7972107,3.443375826,30.24704361,3.706052065,UKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKR,2017,KGZ,417,804,1,1,6,2,0,3417.102051,3253.521,3417.102051,3230.215,1,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6198.2,44831.135,7702934.8,112190355.2,1.243000031,2.503000021,,,,,31280403.48,504350302.2,5.047,11.871,6045.117188,44222.94531,24668016,431301664,0,0,1,1,0,0,1,1,4,2.1,0.8,4,6,10,6.5,14,12.5,3545.238,2998.583,5210.31,3039.834,3545.236084,2860.071045,25.41666603,37.58333206,35.33333206,36.58333206,52.08333206,44.83333206,13.5,61.33333206,45.41666794,14.83333302,26.33333397,25.16666603,25.75,16.91666603,48.66666794,32.08333206,21.58333397,16.25,19,22.83333397,44.58333206,55.25,28.33333397,22.58333397,34.16666794,51.08333206,42.83333206,42.58333206,25,18.58333397,19.16666603,69.33333588,47.66666794,53.91666794,18.41666603,66.16666412,20.08333397,49.25,14.5,37.83333206,33.41666794,33.75,2760000000,19.37794004,12132000000,0,0,0,0,0,0,0,34.92374728,26.11111111,38.96514161,8.635,15.67150635,55.1,1229.056547,24500000,0,150000000,0,24500000,150000000,0,3393,4954,24501,47531,75,63315,53.792982,6794396,191914,28075,21626,27.61749871,698500,55714733,131.3565115,7186579,16.94352456,5239743,12.35354321,177005,3948.260511,58.88947945,2.3574035,1.27E+11,9.51,44831135,5.127270908,0.931979545,39813681,4.833165121,2485778060,0,0,0,0,0,0,0,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,7894.227356,0,0,0,0,0,0,0,502,11,6989,519,85,27055,0.02165,1122951,935,43,424,0,0,8467966,136.8066442,362288,5.853047296,258013,4.16840274,639,103.0944468,38.19903776,2.17,6647530416,6.89,6198200,3.655667962,0.146529914
2018,Ukraine,6,UKR,0,0,0,0,0,1,0,2.444212198,3.94357729,3.96051836,4.485351563,19.76410294,132.6407623,4.084630489,52.48180771,11.98652744,2.650644302,2.449175596,3.082779646,3.649217606,6.594243526,131.3766479,3.460288048,34.5,4.076120853,UKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKRUKR,2018,KGZ,417,804,1,1,6,2,0,3417.102051,3253.521,3417.102051,3230.215,1,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6322.8,44622.517,8271108.638,130901858.4,1.307999969,2.934000015,,,,,33246519.09,534229292.9,5.258,12.629,,,,,0,0,1,1,0,0,1,1,4,1.9,0.6,4,6,10,6.5,14,12.5,6425.143,1521.23,6695.568,5680.732,6292.800781,1521.222046,31,39.16666794,45.83333206,36.75,60,65.75,12.58333302,54.75,41.33333206,13.16666698,23,16.75,28.16666603,13.33333302,54.75,31.83333397,26,35.08333206,52.08333206,49.58333206,43.41666794,62.08333206,30.75,18,45.75,62.5,39.75,53.41666794,25.16666603,10.58333302,44.83333206,56.08333206,46.83333206,53.91666794,21.66666603,64.25,21.66666603,56.08333206,13.58333302,45.08333206,22.5,29.58333397,3066904135,21.60682455,14694000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669220000,0,0,0,669220000,0,0,2904,5261,25305,51195,85,66712,75.26435,7854842,186344,28685,21626,27.64998236,1178000,53933592,127.753861,6074255,14.38824117,5405125,12.80325605,268976,6027.80865,62.55315539,2.22,1.31E+11,8.8,44622518,5.795481116,0.984736878,0,0,2688570122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7728,552,70,8751,1.263266,1175000.704,949,35,424,0,0,8735246,138.5660601,331140,5.252830332,250612,3.975425244,1075,170.0196116,38.19903776,2.38,6897338635,6.79,6322800,3.851815148,0.139359784
2011,USA,98,USA,0,0,0,0,0,0,1,5.692814827,4.750358105,5.787225723,6.17969799,49.2597084,94.83415985,6.440378189,76.2392807,27.10463142,2.740215302,2.788116932,2.953366041,2.287801981,9.089927673,81.84894562,3.54306531,40.0271225,0.095618546,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2011,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,5514.6,311582.55,6197766.144,15517900341,1.123999953,49.8030014,1,1,1,1,16105958.46,15517926000,2.921,49.791,5506.601074,311051.375,19088114,15623885824,0,1,1,1,0,0,0,0,6,3.5,1.4,4,6,14,5,18,11,635.792,2765.203,2877.382,2819.153,635.7960205,2661.048096,12.33333302,29.58333397,4.25,46.58333206,0,19.33333397,26.33333397,36.41666794,45.91666794,10.66666698,15.41666698,0,12.66666698,18.58333397,44.08333206,37.25,10.33333302,21.66666603,6,47.25,5,29.58333397,68.08333588,8.333333015,0,23.66666603,48.5,36.91666794,3.666666746,28.83333397,0,20,0,0,23.08333397,33.58333206,33.41666794,20.91666603,59.33333206,29.91666603,13.58333302,4.083333492,29171000000,4.524957769,6104000000,43.34576409,7.43610219,5.998379803,24.15858976,18.98484619,0.913504375,13245.88193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13024,17443,91313,319502,0,10057768,39621.91354,730796000,2524667,32579.5102,194136,83.32358755,42550780,297404000,95.44904589,143319000,45.99689919,88317000,28.34451919,930471,2986.265501,69.72946076,3.18,1.52E+13,8.95,311583481,12.83810637,9.509209268,16628943,1.933036159,1708694028,4.189207019,93.27747724,22.35783085,1.009367991,0,1.52394775,1649.258332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,17,6679,271,0,9274,1.486294,526018.0125,798.3,82.8,417.2,0,0,6277108,113.758549,502020,9.097990149,39040,0.707512719,8,1.45069452,17.5,2.435,5079922897,8.53,5514600,3.82216916,0.238271609
2012,USA,77,USA,0,0,0,0,0,0,1,5.694822788,4.82353878,5.714055061,6.040786743,48.70451736,89.85645294,6.295096397,79,26.33641434,2.841402292,2.720993042,2.968539476,3.067490578,9.414679527,91.85968018,3.493830442,20,0.288701832,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2012,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,5607.2,313873.688,6605139.968,16163200303,1.177999973,51.49599838,1,1,1,1,16388179.55,16155255000,2.923,51.45,5594.10791,313335.4063,18061590,15983659008,0,1,1,1,0,0,0,0,6,2.8,1.4,4,6,14,5,18,11,2989.931,9450.673,5551.361,3688.812,2989.931885,9250.594727,10.08333302,25.75,16.66666603,31.5,16.25,15.91666698,7.916666508,51.08333206,42.91666794,10.66666698,15.08333302,8.333333015,7,5.583333492,29.66666603,44.75,13.58333302,27.83333397,2.583333254,28.08333397,14.58333302,26.25,52.83333206,20.83333397,0,24.33333397,33.91666794,44.83333206,26.41666603,4.5,0,38.5,0,0,33.83333206,16.91666603,23.91666603,7,33.66666794,49.83333206,6.75,17.16666603,32511000000,4.747365009,6303000000,38.47985569,6.521155808,6.292678518,29.60867118,18.75791991,0.774312765,12964.18794,37.42298591,12.92131238,49.65570171,429.0384447,15.22492707,2818,8978.020233,0,0,0,0,0,0,0,13987,18812,96816,330032,0,9864360,39111.34038,736699000,2500300,34125.70066,153516.6,84.15678889,43538250,304838000,97.06859919,138595000,44.13236704,92514000,29.45894011,1205823,3841.697406,74.7,4.14,1.56E+13,8.07,313877662,12.81327979,9.031576768,13232665,1.340198527,2031374213,4.799578059,93.47969409,22.15849156,0.534018987,0,1.186708861,1809.102582,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,8726.280497,0,0,0,0,0,0,0,576,50,6995,230,0,7719,0.78235,494640.4268,922.7,75.8,417.2,0,0,6797852,120.9243102,488853,8.69601336,54614,0.971506923,38,6.777000999,19.8,2.49,5075444934,8.43,5607200,2.343275262,0.078879333
2013,USA,47,USA,0,0,0,0,0,0,1,5.663756371,4.830934525,5.788833141,6.019151211,47.91025543,105.9135971,6.303523064,77.86302185,28.74615288,2.482843637,2.298570156,2.939580917,2.904504776,8.901119232,104.8292313,3.620476723,20,0.296703994,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2013,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,5719.5,316128.845,7226303.488,16768099680,1.263000011,53.04199982,1,1,1,1,18470586.53,16691517000,3.229,52.787,5683.808105,315536.6875,19626012,16270135296,0,1,1,1,0,0,0,0,6,2.7,1.2,4,6,10,6.2,14,12.19999981,4480.19,3673.658,5316.713,1783.146,4480.187988,3524.576904,12.25,24.08333397,20.5,28.33333397,20.33333397,24.33333397,22.08333397,59.25,38,11.33333302,19.66666603,12.33333302,19.16666603,7.25,22.66666603,43.08333206,15.75,7.583333492,4.333333492,19.75,8.666666985,33.66666794,43.83333206,10.66666698,0,28.75,29.75,37.08333206,35.75,7.75,0,48.66666794,0,0,35.41666794,32.08333206,19.75,18.08333397,34.5,35.16666794,14.58333302,25,34417000000,4.783254648,6613000000,39.94314124,6.317909904,5.955568245,27.02176802,19.17383116,0.859739209,13004.02357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15763,20271,101577,339482,0,9745498,37113.55892,743171000,2541355,36047.10494,154321.5,85.39064528,44340870,310698000,98.19768385,133233000,42.10896759,96032000,30.35140225,1360046,4303.12671,71.4,4.1623265,1.59E+13,7.38,316059947,12.96091844,8.876658024,21877873,2.066770528,2277998114,5.609877953,93.47655414,20.27692527,0.192705731,0,0.72086218,1887.020071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,14,7526,326,0,12189,0.59035,771165,1002,0,417,0,0,6737487,117.555938,461277,8.048379225,136200,2.376422953,44,7.692845654,23,2.2679855,5629453576,8.33,5719600,2.214600984,0.055729993
2014,USA,45,USA,0,0,0,0,0,0,1,5.684453011,4.889930725,5.94841814,6.191640854,44.01641464,98.16610718,6.426709175,81.02519989,28.0311718,2.529613018,2.500800848,3.089701176,2.684545279,8.972932816,124.7750702,3.570311546,21.72350883,2.623142004,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2014,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,5835.5,318563.446,7468096.512,17393103405,1.279999971,54.59899902,1,1,1,1,19557845.56,17393103000,3.352,54.599,5774.565918,317718.7813,20881824,16721713152,0,1,1,1,0,0,0,0,6,2.3,1.2,4,6,10,5.6,14,11.60000038,2457.685,2472.859,3385.336,2858.962,2457.684082,2360.415039,18.41666603,29.16666603,22.58333397,29.41666603,23.75,29.25,11.33333302,75.58333588,37.33333206,13,26.91666603,2.5,18.41666603,35,26.58333397,37.41666794,19.75,11.66666698,5.75,20.5,21.66666603,40.5,39,25.66666603,3.5,41.83333206,40.33333206,30.16666603,39.33333206,12.16666698,0,42.58333206,0,0,28.91666603,43.91666794,27.08333397,45.41666794,22.91666603,37.91666794,46.83333206,23.33333397,34690000000,4.584367426,6503000000,39.65073269,6.053798474,5.911386391,26.88796144,19.2302385,0.923259081,12993.96558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15058,20320,110513,361547,0,9556324,38225.19609,762710000,2702743,36393.10649,152932.6,88.2414692,46233010,355500000,111.5562164,128495000,40.32184536,97810000,30.69286505,1633177,5129.544994,73,4.184653,1.63E+13,6.17,318386329,12.86420128,8.965921416,20849181,2.31464387,2242827292,7.363436728,91.2572056,23.73044194,0.80290969,0,0.576447982,1941.221832,0,0,0,0,0,0,0,40000000,0,0,0,0,0,0,714,48,6330,372,0,17388,0.237168,712284,1010,0,424,0,0,7563444,129.4106012,443184,7.582882599,170706,2.920781339,82,14.05192357,28.3,2.045971,5855984962,8.05,5835500,2.037129014,0.056549192
2015,USA,50,USA,0,0,0,0,0,0,1,5.693639278,4.894029617,6.052972794,6.28626585,42.22486877,95.52954865,6.513137341,84.19999695,28.53985214,2.72516942,2.639318705,3.181883574,2.857395649,8.31497097,121.4498215,3.747436047,23.39999962,0.961614013,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2015,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,5956.9,320896.606,6678178.304,18036648051,1.121000051,56.20700073,1,1,1,1,20534456.2,18036648000,3.447,56.207,5865.400879,319929.1563,21694070,17240649728,0,1,1,1,0,0,0,0,6,2.1,1.1,4,6,10,5.6,14,11.60000038,1140.16,15995.069,15803.691,15757.786,1140.156006,15795.84863,24.83333397,36.25,24.5,34.41666794,36.75,32.41666794,20.08333397,82.91666412,46.16666794,12.91666698,27.41666603,17,15.16666698,56.41666794,31.66666603,36.58333206,23.58333397,11.08333302,8.833333015,22.25,28.58333397,46.58333206,33.41666794,23.25,18.08333397,52.25,47.08333206,38,37.91666794,17.16666603,1.333333373,52.5,0,0,27.66666603,58.58333206,29.83333397,44.41666794,20.58333397,37.5,65.5,37.33333206,36578000000,4.76049794,6578000000,34.23273373,5.84163826,0,31.94216122,19.32377763,0.90380652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18187,22785,128969,388136,0,9498668,37866.22451,798222000,2537845,36043.87568,151735,89.36088011,47886450,382307000,119.1439209,124848000,38.90820791,102212000,31.85382022,2039539,6358.874469,74.55420245,4.168332,1.68E+13,5.28,320738994,13.78118874,9.438521658,42524386,4.981863628,1687701982,13.21565618,85.18802763,0,1.304681504,0,0.291634689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,21,6330,341,0,20962,0.06929,967629,918,41,424,0,0,7579439,127.1905538,408037,6.847268246,211521,3.549533564,136,22.83066696,30.24704278,2.0029855,6082952718,7.56,5956900,2.799089538,0.069321085
2016,USA,57,USA,0,0,0,0,0,0,1,5.700570583,5.023574829,6.21373558,6.444423199,40.11922455,98.40686035,6.544355392,87.36000061,30.37388802,2.55556941,2.426702499,2.905791998,2.928073406,7.877223492,134.4608612,3.580476284,28.29999924,4.158264637,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2016,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,6082.7,323127.502,6551287.808,18569100263,1.077000022,57.46699905,1,1,1,1,21600596.55,18569100000,3.551,57.467,5955.733887,322179.5938,23261980,17497335808,0,1,1,1,0,0,0,0,6,2,1.1,4,6,10,5.6,14,11.60000038,433.34,3455.588,3186.141,3141.619,433.3439941,3204.272949,22.25,33.5,30.25,33.41666794,55.08333206,35,18.16666603,72.41666412,44,12.66666698,23.75,13.16666698,20.25,41.08333206,42.91666794,33.83333206,22.91666603,9.75,10.5,18.41666603,25,41.75,28.25,32.5,15.16666698,56.58333206,46.75,38.83333206,26.16666603,15.5,5.083333492,62.58333206,23.16666603,21.75,23.25,53.08333206,21.83333397,49.41666794,16.41666603,30.08333397,54.66666794,31.91666603,38551000000,4.939092512,6330000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21015,24405,156755,388506,100,9640591,38657.91904,824039000,2314699,35892.15736,151270,88.76314042,48436470,396000000,122.5945483,121343000,37.56563201,105714000,32.72717192,3694357,11435.09744,85.54442129,4.152011,1.70E+13,4.87,323071755,14.06206254,9.647406463,65799849,7.823715565,1994607958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,17,6085,269,85,23120,0.088343,1015750,807,40.8,424,0,0,7613528,125.3393872,382149,6.291212364,240873,3.965424993,257,42.27321326,37,1.96,6346700783,7.21,6079500,3.130007198,0.371673953
2017,USA,18,USA,0,0,0,0,0,0,1,5.613397121,5.126570702,6.090767384,6.473139763,37.52095795,117.5867462,6.540542126,74.55000305,31.53100204,2.488281965,2.373281956,2.882899284,3.238278627,7.14910078,132.7972107,3.443375826,30.24704361,3.706052065,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2017,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,6198.2,324985.535,7702934.8,19519353692,1.243000031,60.06200027,,,,,31280403.48,19519353692,5.047,60.062,6045.117188,324459.4688,24668016,17928570880,0,1,1,1,0,0,0,0,6,2.1,1.1,4,6,10,5.6,14,11.60000038,952.737,6757.225,6746.717,6508.67,952.7399902,6458.687988,25.41666603,37.58333206,35.33333206,36.58333206,52.08333206,44.83333206,13.5,61.33333206,45.41666794,14.83333302,26.33333397,25.16666603,25.75,16.91666603,48.66666794,32.08333206,21.58333397,16.25,19,22.83333397,44.58333206,55.25,28.33333397,22.58333397,34.16666794,51.08333206,42.83333206,42.58333206,25,18.58333397,19.16666603,69.33333588,47.66666794,53.91666794,18.41666603,66.16666412,20.08333397,49.25,14.5,37.83333206,33.41666794,33.75,42218000000,5.084129347,6347000000,0,0,0,0,0,0,0,39.65878143,13.14231696,47.19890162,444.3961118,15.7699117,2818,8667.512166,0,0,0,0,0,0,0,22451,23618,185677,428224,100,9639096,41591.55177,849403000,2445138,33255.54261,150966,90.02253907,52132840,400000000,123.0448345,116297000,35.77436279,108200000,33.28362773,9863566,30338.03347,87.27488917,4.1010055,1.74E+13,4.36,325122128,14.27534938,9.475492969,39813681,4.833165121,2485778060,0,0,0,0,0,0,0,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,7894.227356,0,0,0,0,0,0,0,502,11,6989,519,85,27055,0.02165,1122951,935,43,424,0,0,8467966,136.8066442,362288,5.853047296,258013,4.16840274,639,103.0944468,38.19903776,2.17,6647530416,6.89,6198200,3.655667962,0.146529914
2018,USA,44,USA,0,0,0,0,0,0,1,5.733500481,5.483137131,6.000925064,6.24075985,37.08686829,127.1579361,6.462209702,76.17673492,32.36960602,2.650644302,2.449175596,3.082779646,3.649217606,6.594243526,131.3766479,3.460288048,34.5,4.076120853,USAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSAUSA,2018,KGZ,417,840,1,1,6,-5,0,10203.98926,10948.733,10492.80469,10909.581,1,0,0,0,0.0056,0,2,3,1,2,0,0,0,0,0,0,0,,,,0,0,,,6322.8,326687.5,8271108.638,20580159776,1.307999969,62.99599838,,,,,33246519.09,20580159776,5.258,62.996,,,,,0,1,1,1,0,0,0,0,6,1.9,1,4,6,10,5.6,14,11.60000038,1891.791,7742.651,8165.577,7573.804,1700,7373.439941,31,39.16666794,45.83333206,36.75,60,65.75,12.58333302,54.75,41.33333206,13.16666698,23,16.75,28.16666603,13.33333302,54.75,31.83333397,26,35.08333206,52.08333206,49.58333206,43.41666794,62.08333206,30.75,18,45.75,62.5,39.75,53.41666794,25.16666603,10.58333302,44.83333206,56.08333206,46.83333206,53.91666794,21.66666603,64.25,21.66666603,56.08333206,13.58333302,45.08333206,22.5,29.58333397,45112008359,5.262011015,6651000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24324,22825,194228,445872,100,9880509,42985.2996,889024000,2525224,31962.70664,150462.2976,90.68713652,54776340,422000000,129.0140075,110439000,33.76345493,110865000,33.89369182,21517004,65833.81033,88.49890317,4.05,1.80E+13,3.9,326838199,13.60394316,8.896843214,0,0,2688570122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7728,552,70,8751,1.263266,1175000.704,949,35,424,0,0,8735246,138.5660601,331140,5.252830332,250612,3.975425244,1075,170.0196116,38.19903776,2.38,6897338635,6.79,6322800,3.851815148,0.139359784