Country,Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AZE,BX.GSR.CCIS.CD,84788000,74563000,95365000,113861000,127119000,86814000,72838000,66296000,,,
AZE,BX.GSR.CCIS.ZS,3.400157761,2.450708429,1.98315818,2.756308941,2.95820892,1.953516505,1.667425926,1.414031408,,,
AZE,BX.TRF.PWKR.CD.DT,1410296000,1893080000,1990180000,1733168000,1846424000,1269964000,643148000,1133371000,1225790000,1275168755,1403087000
AZE,EG.ELC.COAL.ZS,0,0,0,0,0,0,,,,,
AZE,EG.ELC.HYRO.ZS,18.41795831,13.1861634,7.921524274,6.375781451,5.257198318,6.630751782,,,,,
AZE,EG.ELC.LOSS.ZS,20.47033672,19.57721494,14.65112232,14.04898518,13.59996765,,,,,,
AZE,EG.ELC.NGAS.ZS,81.45376804,85.1483197,89.89037759,92.9648026,93.86120996,86.08230719,,,,,
AZE,EG.ELC.NUCL.ZS,0,0,0,0,0,,,,,,
AZE,EG.ELC.PETR.ZS,0.122928915,1.665516902,2.188098138,0.077074591,0.15771595,6.509235256,,,,,
AZE,EG.USE.ELEC.KH.PC,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918,,,,,,
AZE,ER.H2O.FWAG.ZS,,,74.24394319,,,,,72.52613131,,,
AZE,ER.H2O.FWDM.ZS,,,4.083542189,,,,,3.517556488,,,
AZE,ER.H2O.FWIN.ZS,,,25.9732665,,,,,23.9563122,,,
AZE,ER.H2O.FWTL.K3,,,11.97,,,,,12.7816,,,
AZE,ER.H2O.FWTL.ZS,,,147.5046211,,,,,157.5058534,,,
AZE,ER.H2O.INTR.K3,,,8.115,,,,,8.115,,,
AZE,ER.H2O.INTR.PC,,,872.9763945,,,,,823.5206844,,,
AZE,IE.PPI.ENGY.CD,,,,,,,,,,,
AZE,IE.PPI.ICTI.CD,,,,,,,,,,,
AZE,IE.PPI.TRAN.CD,,,,,,,,,,,
AZE,IE.PPI.WATR.CD,,,,,,,,,,,
AZE,IE.PPN.ENGY.CD,,,,,,,,,,,
AZE,IE.PPN.TRAN.CD,,,,,,,,,,,
AZE,IE.PPN.WATR.CD,,,,,,,,,,,
AZE,IP.IDS.NRCT,32,608,671,925,,1160,699,825,535,822,
AZE,IP.IDS.RSCT,27,27,23,54,,11,22,114,54,139,
AZE,IP.TMK.NRCT,,,9648,10503,10649,9305,8747,9073,9254,9380,
AZE,IP.TMK.RSCT,,,3615,3556,3683,2801,2817,3077,3791,3908,
AZE,IQ.SPI.PIL5,,,,,,,60,70,80,80,
AZE,IS.AIR.DPRT,9885,15082,16597,15886,21910,23781,24009,20699,19960,22254,
AZE,IS.AIR.GOOD.MT.K1,7.8084,9.5921,13.0443,17.9216,385.14865,686.94149,732.789755,61.6255,44.0886,47.1726,
AZE,IS.AIR.PSGR,796698,1348414,1560084,1651710,1770192,1803112,1961639,2331308,2279546,2585280,
AZE,IS.RRS.GOOD.MT.K6,8250,7845,8212,7958,7371,6210,5192,4633,4492,5152,
AZE,IS.RRS.PASG.KM,917,660,591,609,612,495,448,467,466,,
AZE,IS.RRS.TOTL.KM,2079.1,2079.3,2068.1,2068.1,2066.4,2067.8,2074,2132,2133.07,2139.87,
AZE,IS.SHP.GCNW.XQ,,,,,,,,,,,
AZE,IS.SHP.GOOD.TU,,,,,,,,,,,
AZE,IT.CEL.SETS,9100113,10120105,10125200,10130102,10552520,10697132,10189000,10127000,10339700,10750300,
AZE,IT.CEL.SETS.P2,100.7489875,110.6472854,109.2880368,107.9339038,111.0134613,111.1650782,104.6523726,102.8610548,103.9214187,106.9924534,
AZE,IT.MLT.MAIN,1506585,1683876,1724004,1757855,1795448,1796027,1700233,1688325,1681407,1673211,
AZE,IT.MLT.MAIN.P2,16.67967346,18.41051138,18.60832503,18.72954018,18.88827475,18.66439358,17.46328565,17.14850305,16.89934919,16.6526469,
AZE,IT.NET.BBND,475295,973869,1369594,1712177,1898070,1899456,1803662,1805214,1890913,1943013,
AZE,IT.NET.BBND.P2,5.262076415,10.64771177,14.78294152,18.24285161,19.96786744,19.73923241,18.52561662,18.3357575,19.00503511,19.33785363,
AZE,IT.NET.SECR,23,45,100,158,219,321,994,2557,3274,3697,3021
AZE,IT.NET.SECR.P6,2.540220526,4.905657662,10.75756493,16.77852171,22.96782229,33.26652048,101.8670989,259.4876636,329.383846,368.8044322,298.8096279
AZE,IT.NET.USER.ZS,46,50,54.2,73.00000137,75.00001564,77,78.2,79,79.79999549,,
AZE,LP.LPI.INFR.XQ,2.23,,2.42,,2.714286,,,,,,
AZE,NY.GDP.MKTP.KD,52909294792,52077032844,53224258122,56334372810,57910375018,58518171256,56725409467,56812548004,57664964444,59095142977,56548148737
AZE,SL.UEM.TOTL.ZS,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,4.84,6.27
AZE,SP.POP.TOTL,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10110116
AZE,TM.VAL.ICTG.ZS.UN,3.46529431,3.458040033,3.314398147,2.41319662,2.965310291,2.840696679,2.744462416,3.74630748,4.573992421,3.946509084,
AZE,TX.VAL.ICTG.ZS.UN,0.006571151,0.003807888,0.003032805,0.038362348,0.007817187,0.019239899,0.022704111,0.019036279,0.022317699,0.02083978,
DEU,BX.GSR.CCIS.CD,20877688177,23594695994,25334533731,27281681763,29042341177,29433492590,33994516275,37400463310,,,
DEU,BX.GSR.CCIS.ZS,9.040644307,9.223449542,9.899622995,9.855897016,9.575155876,10.47904252,11.59588209,11.63065735,,,
DEU,BX.TRF.PWKR.CD.DT,12788812790,15337123635,14637030444,16395715917,17075378095,15578082899,15197536776,15688314346,16887715832,18271041363,17898798739
DEU,EG.ELC.COAL.ZS,43.64242247,44.8562978,46.01646898,47.24122949,45.8101933,44.26280916,,,,,
DEU,EG.ELC.HYRO.ZS,3.344010291,2.910109547,3.487954492,3.633491062,3.149349292,2.960682843,,,,,
DEU,EG.ELC.LOSS.ZS,3.826149129,4.08396846,3.937997621,3.866686679,3.884470799,,,,,,
DEU,EG.ELC.NGAS.ZS,14.41979754,14.36511492,12.4418407,10.85986934,10.01225203,9.83155139,,,,,
DEU,EG.ELC.NUCL.ZS,22.43214387,17.7809653,15.94630907,15.3710038,15.61715155,14.31992599,,,,,
DEU,EG.ELC.PETR.ZS,1.395026676,1.179458128,1.222828265,1.137223613,0.909897771,0.968692616,,,,,
DEU,EG.USE.ELEC.KH.PC,7264.322591,7281.272174,7270.152523,7217.529089,7035.482975,,,,,,
DEU,ER.H2O.FWAG.ZS,,,1.78009171,,,,,1.226383825,,,
DEU,ER.H2O.FWDM.ZS,,,19.32012128,,,,,17.95586328,,,
DEU,ER.H2O.FWIN.ZS,,,78.89978701,,,,,80.8177529,,,
DEU,ER.H2O.FWTL.K3,,,27.88066667,,,,,24.443,,,
DEU,ER.H2O.FWTL.ZS,,,26.05669782,,,,,22.84392523,,,
DEU,ER.H2O.INTR.K3,,,107,,,,,107,,,
DEU,ER.H2O.INTR.PC,,,1330.418465,,,,,1294.506181,,,
DEU,IE.PPI.ENGY.CD,,,,,,,,,,,
DEU,IE.PPI.ICTI.CD,,,,,,,,,,,
DEU,IE.PPI.TRAN.CD,,,,,,,,,,,
DEU,IE.PPI.WATR.CD,,,,,,,,,,,
DEU,IE.PPN.ENGY.CD,,,,,,,,,,,
DEU,IE.PPN.TRAN.CD,,,,,,,,,,,
DEU,IE.PPN.WATR.CD,,,,,,,,,,,
DEU,IP.IDS.NRCT,10228,12066,12110,10440,13965,11173,9917,6694,5661,7480,
DEU,IP.IDS.RSCT,40396,41848,43323,46757,47189,45458,46216,39121,38815,36617,
DEU,IP.TMK.NRCT,23923,24657,20994,21053,20535,19619,19683,22561,24198,25379,
DEU,IP.TMK.RSCT,197433,181142,171297,172567,182820,190540,190216,203252,195623,210549,
DEU,IQ.SPI.PIL5,,,,,,,95,95,95,95,
DEU,IS.AIR.DPRT,971803.4316,1021899.939,985668.7692,954874,946082,967453,962803,955827,922648.6435,896647.181,
DEU,IS.AIR.GOOD.MT.K1,7487.481001,7716.761903,7236.98063,7335.699402,7184.146208,6986.405445,6942.706332,7901.652344,7969.86364,7763.619214,
DEU,IS.AIR.PSGR,97330734.28,107042775.8,105978474.5,109062321.5,112353098.6,117222850,116713587,114160685,109796202.2,109633750.7,
DEU,IS.RRS.GOOD.MT.K6,107317,113317,110065,112613,112629,116632,128866,131204,129991,113114,
DEU,IS.RRS.PASG.KM,83886,85414,88796,89615,90976,91603,94197,95530,98000,,
DEU,IS.RRS.TOTL.KM,33714.093,33575.872,33506,33449,33426,33332,33380,33488,33440,33422,
DEU,IS.SHP.GCNW.XQ,82.58437628,82.01372063,81.95198346,79.77711566,84.20164386,86.87080307,88.01194228,83.5498086,87.4105272,82.82829498,
DEU,IS.SHP.GOOD.TU,14674340,18323980,18449700,18932700,19866700,19238700,19420700,19718530,19706500,19596420,
DEU,IT.CEL.SETS,88400000,90900000,92400000,100034000,99530000,96360000,103470000,109700000,107500000,107200000,
DEU,IT.CEL.SETS.P2,109.3693912,112.4225954,114.1126357,123.2334833,122.1971002,117.8176431,125.8854564,132.7148699,129.3242137,128.3570318,
DEU,IT.MLT.MAIN,52900000,51400000,50100000,48700000,47021000,45350000,45300000,44400000,42500000,40400000,
DEU,IT.MLT.MAIN.P2,65.44842527,63.57009243,61.87276026,59.9943083,57.72962772,55.44863133,55.1136675,53.71504308,51.12817752,48.373359,
DEU,IT.NET.BBND,26161950,27257096,27956700,28641961,29572818,30707429,31861900,33243300,34174900,35071539,
DEU,IT.NET.BBND.P2,32.3678342,33.7108193,34.52611171,35.2844895,36.30777257,37.54542249,38.76437445,40.21768674,41.11294951,41.99327095,
DEU,IT.NET.SECR,85810,118157,176527,209774,271517,351083,957300,2825322,4676435,6478761,8109646
DEU,IT.NET.SECR.P6,1049.317943,1471.903146,2194.90449,2601.183288,3352.786096,4297.925887,11624.9602,34181.27844,56406.62071,77970.03313,97424.25339
DEU,IT.NET.USER.ZS,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.3941537,87.03711209,88.13451691,
DEU,LP.LPI.INFR.XQ,4.34,,4.26,,4.323295,,4.439356,,4.37,,
DEU,NY.GDP.MKTP.KD,3.39635E+12,3.52967E+12,3.54444E+12,3.55995E+12,3.63861E+12,3.69289E+12,3.77524E+12,3.87348E+12,3.92259E+12,3.94438E+12,3.75124E+12
DEU,SL.UEM.TOTL.ZS,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,4.31
DEU,SP.POP.TOTL,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83240525
DEU,TM.VAL.ICTG.ZS.UN,9.542706361,8.00396293,7.842577211,7.359182823,7.742427343,8.439838042,8.499590373,8.777071489,8.552275007,8.367101949,
DEU,TX.VAL.ICTG.ZS.UN,5.283167521,4.639753681,4.506822519,4.333128609,4.520062225,4.651619556,4.708548066,4.955060267,4.963000222,4.900755175,
KAZ,BX.GSR.CCIS.CD,93587146.19,103704604.6,124362300,140646781.2,146111854.6,142220010,124088872,116302847.5,,,
KAZ,BX.GSR.CCIS.ZS,2.272103991,2.390752017,2.289898728,2.35566202,2.086571671,2.302251266,2.039415955,1.787932224,,,
KAZ,BX.TRF.PWKR.CD.DT,225556234.3,179708290.7,282984848.9,341405870.7,401380996.1,294269675.9,384165377.8,560420963.9,618039381,506076000.8,374391281.1
KAZ,EG.ELC.COAL.ZS,80.65363115,81.09856097,74.79341069,75.1944978,71.94769102,71.56892212,,,,,
KAZ,EG.ELC.HYRO.ZS,9.706458873,9.10424318,8.228018574,7.499563471,7.864430654,8.705902243,,,,,
KAZ,EG.ELC.LOSS.ZS,8.025796772,7.353382764,7.694711098,10.83949324,6.740396695,,,,,,
KAZ,EG.ELC.NGAS.ZS,8.889722431,9.170073684,16.18345777,16.71710999,19.1999467,18.39332006,,,,,
KAZ,EG.ELC.NUCL.ZS,0,0,0,0,0,,,,,,
KAZ,EG.ELC.PETR.ZS,0.750187547,0.627122168,0.791880798,0.583008362,0.974606921,1.163729947,,,,,
KAZ,EG.USE.ELEC.KH.PC,4728.011591,4892.734896,5180.65351,5345.468427,5600.208465,,,,,,
KAZ,ER.H2O.FWAG.ZS,,,58.38085445,,,,,61.83796164,,,
KAZ,ER.H2O.FWDM.ZS,,,11.6247546,,,,,9.598789416,,,
KAZ,ER.H2O.FWIN.ZS,,,29.99439095,,,,,28.56324895,,,
KAZ,ER.H2O.FWTL.K3,,,21.39,,,,,22.45,,,
KAZ,ER.H2O.FWTL.ZS,,,33.24009324,,,,,34.88733489,,,
KAZ,ER.H2O.INTR.K3,,,64.35,,,,,64.35,,,
KAZ,ER.H2O.INTR.PC,,,3832.161452,,,,,3567.512979,,,
KAZ,IE.PPI.ENGY.CD,14500000,28200000,,,,,,,52400000,553600000,265480000
KAZ,IE.PPI.ICTI.CD,,,,,,,,,,,
KAZ,IE.PPI.TRAN.CD,,,,,,,,75000000,,,585000000
KAZ,IE.PPI.WATR.CD,,,,,,,,,,,
KAZ,IE.PPN.ENGY.CD,,,,,,,,,52400000,553600000,265480000
KAZ,IE.PPN.TRAN.CD,,,,,,,,,,,585000000
KAZ,IE.PPN.WATR.CD,,,,,,,,,,,
KAZ,IP.IDS.NRCT,101,121,118,222,193,123,150,98,170,,
KAZ,IP.IDS.RSCT,149,136,119,135,107,94,89,105,83,,
KAZ,IP.TMK.NRCT,,,16526,17919,,,14391,,16876,15968,
KAZ,IP.TMK.RSCT,,,6209,7048,,,8491,,10569,11517,
KAZ,IQ.SPI.PIL5,,,,,,,70,70,70,70,
KAZ,IS.AIR.DPRT,33483,40916,44580,66108,71220,72486,73188,83048,66693,70980,
KAZ,IS.AIR.GOOD.MT.K1,42.379,50.977,53.977,58.199004,44.61,37.669008,38.89446,49.5077,49.64306,48.897863,
KAZ,IS.AIR.PSGR,3098327,3786453.064,4064819.023,4785588,4918608,5081632,5007869,6903190,5920110,6800111,
KAZ,IS.RRS.GOOD.MT.K6,213174,223583.5,235845.5,231248,216524,189759,188159,206258,219927,,
KAZ,IS.RRS.PASG.KM,15447.88,16595.3,18498,19125,18317,17085,18165.1,19241.2,19109.7,,
KAZ,IS.RRS.TOTL.KM,14184.1,14319.4,14758.9,14767.1,14767.1,14767.1,15529,16040.3,16060.8,,
KAZ,IS.SHP.GCNW.XQ,,,,,,,,,,,
KAZ,IS.SHP.GOOD.TU,,,,,,,,,,,
KAZ,IT.CEL.SETS,19402600,25240800,30235400,30364900,28595600,26309300,25534800,26693300,26065600,25717700,
KAZ,IT.CEL.SETS.P2,119.3838723,153.0610945,180.4934178,178.3430714,165.2675044,149.7227182,143.2053265,147.6397785,142.2824428,138.6292278,
KAZ,IT.MLT.MAIN,4057600,4265800,4361400,4392000,4353400,4147800,3931100,3686600,3206100,3072500,
KAZ,IT.MLT.MAIN.P2,24.96634472,25.86796049,26.03583853,25.79566439,25.16035871,23.60457673,22.04655839,20.3904653,17.50091077,16.56206824,
KAZ,IT.NET.BBND,869600,1193400,1637300,1958823,2148000,2301000,2349900,2576100,2461300,2511100,
KAZ,IT.NET.BBND.P2,5.35063421,7.236819365,9.774035498,11.50481346,12.41430847,13.09468418,13.17880684,14.24832573,13.43532382,13.53588595,
KAZ,IT.NET.SECR,57,91,202,296,465,845,4701,22227,25115,43674,62033
KAZ,IT.NET.SECR.P6,3.492246478,5.49609771,12.0294734,17.3754286,26.89682638,48.16789287,264.1893599,1232.247257,1374.172624,2359.013255,3307.643417
KAZ,IT.NET.USER.ZS,31.6,50.6,61.90662747,63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906,81.87762554,
KAZ,LP.LPI.INFR.XQ,2.66,,2.6,,2.383023,,2.761905,,2.55,,
KAZ,NY.GDP.MKTP.KD,1.48047E+11,1.59003E+11,1.66635E+11,1.76633E+11,1.84052E+11,1.8626E+11,1.88309E+11,1.9603E+11,2.04067E+11,2.1325E+11,2.07706E+11
KAZ,SL.UEM.TOTL.ZS,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,6.05
KAZ,SP.POP.TOTL,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18754440
KAZ,TM.VAL.ICTG.ZS.UN,4.967140044,5.742580134,5.812535888,5.964423792,5.985464684,4.889596818,5.198397261,5.849517426,5.991194905,5.63143094,
KAZ,TX.VAL.ICTG.ZS.UN,0.049219566,0.142425714,0.441999197,0.334389226,0.84256593,0.185265848,0.155205855,0.125460948,0.112994364,0.11513486,
KGZ,BX.GSR.CCIS.CD,22840249,16628943,13232665,21877873,20849181,42524386,65799849,39813681,,,
KGZ,BX.GSR.CCIS.ZS,3.805894302,1.933036159,1.340198527,2.066770528,2.31464387,4.981863628,7.823715565,4.833165121,,,
KGZ,BX.TRF.PWKR.CD.DT,1266195469,1708694028,2031374213,2277998114,2242827292,1687701982,1994607958,2485778060,2688570122,2410507185,2200000000
KGZ,EG.ELC.COAL.ZS,4.991735537,4.189207019,4.799578059,5.609877953,7.363436728,13.21565618,,,,,
KGZ,EG.ELC.HYRO.ZS,91.80165289,93.27747724,93.47969409,93.47655414,91.2572056,85.18802763,,,,,
KGZ,EG.ELC.LOSS.ZS,24.09090909,22.35783085,22.15849156,20.27692527,23.73044194,,,,,,
KGZ,EG.ELC.NGAS.ZS,1.495867769,1.009367991,0.534018987,0.192705731,0.80290969,1.304681504,,,,,
KGZ,EG.ELC.NUCL.ZS,0,0,0,0,0,,,,,,
KGZ,EG.ELC.PETR.ZS,1.710743802,1.52394775,1.186708861,0.72086218,0.576447982,0.291634689,,,,,
KGZ,EG.USE.ELEC.KH.PC,1371.721214,1649.258332,1809.102582,1887.020071,1941.221832,,,,,,
KGZ,ER.H2O.FWAG.ZS,,,92.68929504,,,,,92.68929504,,,
KGZ,ER.H2O.FWDM.ZS,,,2.924281984,,,,,2.924281984,,,
KGZ,ER.H2O.FWIN.ZS,,,4.386422977,,,,,4.386422977,,,
KGZ,ER.H2O.FWTL.K3,,,7.707,,,,,7.707,,,
KGZ,ER.H2O.FWTL.ZS,,,15.75107296,,,,,15.75107296,,,
KGZ,ER.H2O.INTR.K3,,,48.93,,,,,48.93,,,
KGZ,ER.H2O.INTR.PC,,,8726.280497,,,,,7894.227356,,,
KGZ,IE.PPI.ENGY.CD,,,,,40000000,,,,,,
KGZ,IE.PPI.ICTI.CD,,,,,,,,,,,
KGZ,IE.PPI.TRAN.CD,,,,,,,,,,,
KGZ,IE.PPI.WATR.CD,,,,,,,,,,,
KGZ,IE.PPN.ENGY.CD,,,,,,,,,,,
KGZ,IE.PPN.TRAN.CD,,,,,,,,,,,
KGZ,IE.PPN.WATR.CD,,,,,,,,,,,
KGZ,IP.IDS.NRCT,559,519,576,797,714,904,460,502,,,
KGZ,IP.IDS.RSCT,13,17,50,14,48,21,17,11,,,
KGZ,IP.TMK.NRCT,,6679,6995,7526,6330,6330,6085,6989,7728,7115,
KGZ,IP.TMK.RSCT,,271,230,326,372,341,269,519,552,494,
KGZ,IQ.SPI.PIL5,,,,,,,85,85,70,85,
KGZ,IS.AIR.DPRT,7371,9274,7719,12189,17388,20962,23120,27055,8751,6537,
KGZ,IS.AIR.GOOD.MT.K1,1.3027,1.486294,0.78235,0.59035,0.237168,0.06929,0.088343,0.02165,1.263266,0.458837,
KGZ,IS.AIR.PSGR,375602,526018.0125,494640.4268,771165,712284,967629,1015750,1122951,1175000.704,874326,
KGZ,IS.RRS.GOOD.MT.K6,737.7,798.3,922.7,1002,1010,918,807,935,949,870.4,
KGZ,IS.RRS.PASG.KM,98.7,82.8,75.8,,,41,40.8,43,35,,
KGZ,IS.RRS.TOTL.KM,417.2,417.2,417.2,417,424,424,424,424,424,,
KGZ,IS.SHP.GCNW.XQ,,,,,,,,,,,
KGZ,IS.SHP.GOOD.TU,,,,,,,,,,,
KGZ,IT.CEL.SETS,5275477,6277108,6797852,6737487,7563444,7579439,7613528,8467966,8735246,8622565,
KGZ,IT.CEL.SETS.P2,97.29236321,113.758549,120.9243102,117.555938,129.4106012,127.1905538,125.3393872,136.8066442,138.5660601,134.3947411,
KGZ,IT.MLT.MAIN,489052,502020,488853,461277,443184,408037,382149,362288,331140,298855,
KGZ,IT.MLT.MAIN.P2,9.019283908,9.097990149,8.69601336,8.048379225,7.582882599,6.847268246,6.291212364,5.853047296,5.252830332,4.658073365,
KGZ,IT.NET.BBND,23053,39040,54614,136200,170706,211521,240873,258013,250612,269091,
KGZ,IT.NET.BBND.P2,0.425152237,0.707512719,0.971506923,2.376422953,2.920781339,3.549533564,3.965424993,4.16840274,3.975425244,4.194159776,
KGZ,IT.NET.SECR,10,8,38,44,82,136,257,639,1075,1859,2771
KGZ,IT.NET.SECR.P6,1.835569669,1.45069452,6.777000999,7.692845654,14.05192357,22.83066696,42.27321326,103.0944468,170.0196116,287.9402745,420.3835184
KGZ,IT.NET.USER.ZS,16.3,17.5,19.8,23,28.3,30.24704278,37,38.19903776,,,
KGZ,LP.LPI.INFR.XQ,2.09,,2.49,,2.045971,,1.96,,2.38,,
KGZ,NY.GDP.MKTP.KD,4794357795,5079922897,5075444934,5629453576,5855984962,6082952718,6346700783,6647530416,6897338635,7214659366,6593004561
KGZ,SL.UEM.TOTL.ZS,8.64,8.53,8.43,8.33,8.05,7.56,7.21,6.89,6.79,6.72,7.89
KGZ,SP.POP.TOTL,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6591600
KGZ,TM.VAL.ICTG.ZS.UN,2.710947973,3.82216916,2.343275262,2.214600984,2.037129014,2.799089538,3.130007198,3.655667962,3.851815148,5.331285796,
KGZ,TX.VAL.ICTG.ZS.UN,0.563101663,0.238271609,0.078879333,0.055729993,0.056549192,0.069321085,0.371673953,0.146529914,0.139359784,0.175329754,
RUS,BX.GSR.CCIS.CD,2623790000,3101490000,3493560000,4163110000,4503620000,3933500000,3903720000,4652750000,,,
RUS,BX.GSR.CCIS.ZS,5.337359728,5.34379778,5.604040551,5.93690956,6.850186229,7.620719678,7.708219795,8.085918675,,,
RUS,BX.TRF.PWKR.CD.DT,5250020000,6103270000,5787730000,6750810000,7776540000,6903390000,6688670000,8235000000,9287270000,10432480000,9836320000
