Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Azerbaijan,23,9,18,20,1,1,,7,,2
Armenia,1,,1,2,1,,1,,,
Belorussia,29,22,20,43,24,13,12,16,18,7
Georgia,0,0,0,0,0,0,0,0,0,0
Kazakhstan,"2,816","2,418","2,285","1,340",936,808,817,"1,043","1,187","1,590"
Moldova,,2,,,1,,1,1,1,2
Russia,"36,476","5,099","5,277","6,847","3,943","3,631","3,237","4,335","4,741","3,550"
Tajikistan ,132,241,310,237,229,299,69,412,284,362
Turkmenistan ,,3,,3,7,6,,2,,1
Uzbekistan,21,21,94,206,331,282,101,191,301,87
Ukraine,67,35,36,,15,11,3,3,9,8
Other_CIS,2,,,,,,,,,
Latvia,,1,,1,1,3,,,,
Lithuania,,,,,5,,,,,
Estonia,,,,1,,,,,,
Germany,62,74,58,60,78,107,54,128,87,76
Israel,9,1,5,,8,8,4,,2,3
USA,90,68,43,40,42,51,16,38,44,5